query,url
"Information Technology Act, 2000",https://indiankanoon.org/doc/116355009/
"Information Technology Act, 2000",https://indiankanoon.org/doc/196894795/
"Information Technology Act, 2000",https://indiankanoon.org/doc/192504406/
"Information Technology Act, 2000",https://indiankanoon.org/doc/16601408/
"Information Technology Act, 2000",https://indiankanoon.org/doc/29240036/
"Information Technology Act, 2000",https://indiankanoon.org/doc/119536729/
"Information Technology Act, 2000",https://indiankanoon.org/doc/56426617/
"Information Technology Act, 2000",https://indiankanoon.org/doc/90005566/
"Information Technology Act, 2000",https://indiankanoon.org/doc/157792522/
"Information Technology Act, 2000",https://indiankanoon.org/doc/59217707/
"Information Technology Act, 2000",https://indiankanoon.org/doc/112330443/
"Information Technology Act, 2000",https://indiankanoon.org/doc/60685120/
"Information Technology Act, 2000",https://indiankanoon.org/doc/57969230/
"Information Technology Act, 2000",https://indiankanoon.org/doc/5011470/
"Information Technology Act, 2000",https://indiankanoon.org/doc/38690734/
"Information Technology Act, 2000",https://indiankanoon.org/doc/26984718/
"Information Technology Act, 2000",https://indiankanoon.org/doc/88149668/
"Information Technology Act, 2000",https://indiankanoon.org/doc/61458733/
"Information Technology Act, 2000",https://indiankanoon.org/doc/21366357/
"Information Technology Act, 2000",https://indiankanoon.org/doc/194218633/
"Information Technology Act, 2000",https://indiankanoon.org/doc/42587172/
"Information Technology Act, 2000",https://indiankanoon.org/doc/141233600/
"Information Technology Act, 2000",https://indiankanoon.org/doc/173462846/
"Information Technology Act, 2000",https://indiankanoon.org/doc/31985643/
"Information Technology Act, 2000",https://indiankanoon.org/doc/162211109/
"Information Technology Act, 2000",https://indiankanoon.org/doc/64484479/
"Information Technology Act, 2000",https://indiankanoon.org/doc/132654963/
"Information Technology Act, 2000",https://indiankanoon.org/doc/6792100/
"Information Technology Act, 2000",https://indiankanoon.org/doc/163356772/
"Information Technology Act, 2000",https://indiankanoon.org/doc/149990627/
"Information Technology Act, 2000",https://indiankanoon.org/doc/71534918/
"Information Technology Act, 2000",https://indiankanoon.org/doc/64260902/
"Information Technology Act, 2000",https://indiankanoon.org/doc/72141636/
"Information Technology Act, 2000",https://indiankanoon.org/doc/27752882/
"Information Technology Act, 2000",https://indiankanoon.org/doc/159442262/
"Information Technology Act, 2000",https://indiankanoon.org/doc/170241346/
"Information Technology Act, 2000",https://indiankanoon.org/doc/10321936/
"Information Technology Act, 2000",https://indiankanoon.org/doc/21033762/
"Information Technology Act, 2000",https://indiankanoon.org/doc/70033082/
"Information Technology Act, 2000",https://indiankanoon.org/doc/8274272/
"Information Technology Act, 2000",https://indiankanoon.org/doc/198594732/
"Information Technology Act, 2000",https://indiankanoon.org/doc/165661166/
"Information Technology Act, 2000",https://indiankanoon.org/doc/49086830/
"Information Technology Act, 2000",https://indiankanoon.org/doc/91325191/
"Information Technology Act, 2000",https://indiankanoon.org/doc/131141238/
"Information Technology Act, 2000",https://indiankanoon.org/doc/28444145/
"Information Technology Act, 2000",https://indiankanoon.org/doc/164902416/
"Information Technology Act, 2000",https://indiankanoon.org/doc/156468380/
"Information Technology Act, 2000",https://indiankanoon.org/doc/77626407/
"Information Technology Act, 2000",https://indiankanoon.org/doc/61236335/
"Information Technology Act, 2000",https://indiankanoon.org/doc/97156496/
"Information Technology Act, 2000",https://indiankanoon.org/doc/67497591/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1939811/
"Information Technology Act, 2000",https://indiankanoon.org/doc/193464399/
"Information Technology Act, 2000",https://indiankanoon.org/doc/103925960/
"Information Technology Act, 2000",https://indiankanoon.org/doc/114004101/
"Information Technology Act, 2000",https://indiankanoon.org/doc/181543508/
"Information Technology Act, 2000",https://indiankanoon.org/doc/56316081/
"Information Technology Act, 2000",https://indiankanoon.org/doc/14637351/
"Information Technology Act, 2000",https://indiankanoon.org/doc/656947/
"Information Technology Act, 2000",https://indiankanoon.org/doc/80565930/
"Information Technology Act, 2000",https://indiankanoon.org/doc/132764905/
"Information Technology Act, 2000",https://indiankanoon.org/doc/78724635/
"Information Technology Act, 2000",https://indiankanoon.org/doc/172049555/
"Information Technology Act, 2000",https://indiankanoon.org/doc/167333165/
"Information Technology Act, 2000",https://indiankanoon.org/doc/52989399/
"Information Technology Act, 2000",https://indiankanoon.org/doc/58920304/
"Information Technology Act, 2000",https://indiankanoon.org/doc/190535334/
"Information Technology Act, 2000",https://indiankanoon.org/doc/151749146/
"Information Technology Act, 2000",https://indiankanoon.org/doc/10902800/
"Information Technology Act, 2000",https://indiankanoon.org/doc/182538660/
"Information Technology Act, 2000",https://indiankanoon.org/doc/105810989/
"Information Technology Act, 2000",https://indiankanoon.org/doc/16571234/
"Information Technology Act, 2000",https://indiankanoon.org/doc/24851817/
"Information Technology Act, 2000",https://indiankanoon.org/doc/154395703/
"Information Technology Act, 2000",https://indiankanoon.org/doc/98293123/
"Information Technology Act, 2000",https://indiankanoon.org/doc/184408321/
"Information Technology Act, 2000",https://indiankanoon.org/doc/94022339/
"Information Technology Act, 2000",https://indiankanoon.org/doc/38221564/
"Information Technology Act, 2000",https://indiankanoon.org/doc/93358445/
"Information Technology Act, 2000",https://indiankanoon.org/doc/136529543/
"Information Technology Act, 2000",https://indiankanoon.org/doc/11075452/
"Information Technology Act, 2000",https://indiankanoon.org/doc/74563466/
"Information Technology Act, 2000",https://indiankanoon.org/doc/12114579/
"Information Technology Act, 2000",https://indiankanoon.org/doc/179132717/
"Information Technology Act, 2000",https://indiankanoon.org/doc/127984337/
"Information Technology Act, 2000",https://indiankanoon.org/doc/196407878/
"Information Technology Act, 2000",https://indiankanoon.org/doc/182873999/
"Information Technology Act, 2000",https://indiankanoon.org/doc/198157163/
"Information Technology Act, 2000",https://indiankanoon.org/doc/67061428/
"Information Technology Act, 2000",https://indiankanoon.org/doc/184302548/
"Information Technology Act, 2000",https://indiankanoon.org/doc/185524068/
"Information Technology Act, 2000",https://indiankanoon.org/doc/23923228/
"Information Technology Act, 2000",https://indiankanoon.org/doc/147159774/
"Information Technology Act, 2000",https://indiankanoon.org/doc/76449328/
"Information Technology Act, 2000",https://indiankanoon.org/doc/107065690/
"Information Technology Act, 2000",https://indiankanoon.org/doc/129703231/
"Information Technology Act, 2000",https://indiankanoon.org/doc/171388166/
"Information Technology Act, 2000",https://indiankanoon.org/doc/150385313/
"Information Technology Act, 2000",https://indiankanoon.org/doc/101301538/
"Information Technology Act, 2000",https://indiankanoon.org/doc/92047909/
"Information Technology Act, 2000",https://indiankanoon.org/doc/194872036/
"Information Technology Act, 2000",https://indiankanoon.org/doc/173420097/
"Information Technology Act, 2000",https://indiankanoon.org/doc/85160426/
"Information Technology Act, 2000",https://indiankanoon.org/doc/12424976/
"Information Technology Act, 2000",https://indiankanoon.org/doc/157300499/
"Information Technology Act, 2000",https://indiankanoon.org/doc/6637056/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/1507394/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/884542/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/1463645/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/200772/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/102385658/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/47644372/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/178353366/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/173843392/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/141385304/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/139855010/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/116483897/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/170521569/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/118653996/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/63901223/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/1901058/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/110897300/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/147324005/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/20392876/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/98378144/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/24944991/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/128628457/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/65830851/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/1064437/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/129734802/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/162450341/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/144240384/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/161916988/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/21292363/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/143295410/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/126757629/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/91379811/
"Information Technology (Amendment) Act, 2008",https://indiankanoon.org/doc/18395180/
